SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
601-0057;182,071.38;40,244.29;0.00;222,315.67
602-0000;321,585.50;44,576.95;0.00;366,162.45
602-0001;132,029.38;29,197.40;0.00;161,226.78
602-0002;111,919.13;0.00;0.00;111,919.13
602-0003;1,312.76;0.00;0.00;1,312.76
602-0004;328.21;0.00;0.00;328.21
602-0005;0.00;0.00;0.00;0.00
602-0006;666.71;208.35;0.00;875.06
602-0007;0.00;0.00;0.00;0.00
602-0008;850.48;517.16;0.00;1,367.64
602-0009;1,482.82;1,149.50;0.00;2,632.32
602-0010;0.00;0.00;0.00;0.00
602-0011;438.34;0.00;0.00;438.34
602-0012;0.00;0.00;0.00;0.00
602-0016;18,276.99;4,262.07;0.00;22,539.06
602-0017;7,470.83;932.17;0.00;8,403.00
602-0018;20,257.79;3,040.45;0.00;23,298.24
602-0019;13,918.93;3,815.77;0.00;17,734.70
602-0022;7,225.00;0.00;0.00;7,225.00
602-0056;5,408.13;1,454.08;0.00;6,862.21
603-0000;523,419.65;129,764.66;0.00;653,184.31
603-0001;345,610.37;89,990.93;0.00;435,601.30
603-0002;0.00;44.45;0.00;44.45
603-0003;3,200.02;0.00;0.00;3,200.02
603-0004;800.01;0.00;0.00;800.01
603-0005;0.00;0.00;0.00;0.00
603-0006;1,191.70;490.70;0.00;1,682.40
603-0007;1,287.48;438.47;0.00;1,725.95
603-0008;617.17;266.67;0.00;883.84
603-0009;716.17;266.67;0.00;982.84
603-0010;0.00;0.00;0.00;0.00
603-0011;0.00;0.00;0.00;0.00
603-0012;0.00;0.00;0.00;0.00
603-0016;17,094.00;0.00;0.00;17,094.00
603-0017;27,453.88;6,794.84;0.00;34,248.72
603-0018;10,602.68;2,744.94;0.00;13,347.62
603-0019;9,419.05;4,709.52;0.00;14,128.57
603-0022;23,325.54;5,910.45;0.00;29,235.99
603-0042;0.00;0.00;0.00;0.00
603-0043;37,652.32;7,500.00;0.00;45,152.32
603-0045;13,511.77;2,964.40;0.00;16,476.17
603-0046;0.00;0.00;0.00;0.00
603-0047;3,800.00;950.00;0.00;4,750.00
603-0048;0.00;0.00;0.00;0.00
603-0049;0.00;0.00;0.00;0.00
603-0050;7,955.41;531.04;0.00;8,486.45
603-0051;0.00;0.00;0.00;0.00
603-0052;0.00;0.00;0.00;0.00
603-0053;0.00;0.00;0.00;0.00
603-0056;18,225.68;4,556.42;0.00;22,782.10
603-0057;956.40;1,605.16;0.00;2,561.56
610-0000;382,004.33;96,418.38;0.00;478,422.71
610-0001;15,055.76;3,763.94;0.00;18,819.70
610-0002;4,014.95;1,104.69;0.00;5,119.64
610-0003;4,647.16;1,161.79;0.00;5,808.95
610-0004;189,857.38;48,268.60;0.00;238,125.98
610-0005;168,429.08;42,119.36;0.00;210,548.44
612-0000;72,065.64;18,016.41;0.00;90,082.05
612-0001;72,065.64;18,016.41;0.00;90,082.05
701-0000;0.00;0.00;0.00;0.00
701-0001;0.00;0.00;0.00;0.00
702-0000;2,444.90;0.00;341.81;2,786.71
702-0001;0.00;0.00;0.00;0.00
702-0002;2,444.90;0.00;341.81;2,786.71
703-0000;1,585.97;2.94;0.00;1,588.91
703-0001;0.00;0.00;0.00;0.00
703-0001;1,585.97;2.94;0.00;1,588.91
704-0000;1,235.05;0.00;2.90;1,237.95
704-0001;0.00;0.00;0.00;0.00
704-0002;1,235.05;0.00;2.90;1,237.95
