SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
601-0057;137,864.99;44,206.39;0.00;182,071.38
602-0000;253,714.90;67,870.60;0.00;321,585.50
602-0001;98,822.90;33,206.48;0.00;132,029.38
602-0002;91,204.13;20,715.00;0.00;111,919.13
602-0003;1,312.76;0.00;0.00;1,312.76
602-0004;328.21;0.00;0.00;328.21
602-0005;0.00;0.00;0.00;0.00
602-0006;541.70;125.01;0.00;666.71
602-0007;0.00;0.00;0.00;0.00
602-0008;850.48;0.00;0.00;850.48
602-0009;1,482.82;0.00;0.00;1,482.82
602-0010;0.00;0.00;0.00;0.00
602-0011;438.34;0.00;0.00;438.34
602-0012;0.00;0.00;0.00;0.00
602-0016;13,620.30;4,656.69;0.00;18,276.99
602-0017;5,849.44;1,621.39;0.00;7,470.83
602-0018;17,556.26;2,701.53;0.00;20,257.79
602-0019;10,528.51;3,390.42;0.00;13,918.93
602-0022;7,225.00;0.00;0.00;7,225.00
602-0056;3,954.05;1,454.08;0.00;5,408.13
603-0000;397,822.84;125,596.81;0.00;523,419.65
603-0001;259,542.77;86,067.60;0.00;345,610.37
603-0002;0.00;0.00;0.00;0.00
603-0003;2,000.02;1,200.00;0.00;3,200.02
603-0004;500.01;300.00;0.00;800.01
603-0005;0.00;0.00;0.00;0.00
603-0006;911.30;280.40;0.00;1,191.70
603-0007;984.54;302.94;0.00;1,287.48
603-0008;617.17;0.00;0.00;617.17
603-0009;716.17;0.00;0.00;716.17
603-0010;0.00;0.00;0.00;0.00
603-0011;0.00;0.00;0.00;0.00
603-0012;0.00;0.00;0.00;0.00
603-0016;17,094.00;0.00;0.00;17,094.00
603-0017;20,903.16;6,550.72;0.00;27,453.88
603-0018;7,958.15;2,644.53;0.00;10,602.68
603-0019;4,615.17;4,803.88;0.00;9,419.05
603-0022;17,296.66;6,028.88;0.00;23,325.54
603-0042;0.00;0.00;0.00;0.00
603-0043;30,152.32;7,500.00;0.00;37,652.32
603-0045;10,280.08;3,231.69;0.00;13,511.77
603-0046;0.00;0.00;0.00;0.00
603-0047;2,850.00;950.00;0.00;3,800.00
603-0048;0.00;0.00;0.00;0.00
603-0049;0.00;0.00;0.00;0.00
603-0050;7,029.66;925.75;0.00;7,955.41
