SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
601-0057;222,315.67;46,150.95;0.00;268,466.62
602-0000;366,162.45;46,538.13;0.00;412,700.58
602-0001;161,226.78;33,025.57;0.00;194,252.35
602-0002;111,919.13;0.00;0.00;111,919.13
602-0003;1,312.76;0.00;0.00;1,312.76
602-0004;328.21;0.00;0.00;328.21
602-0005;0.00;0.00;0.00;0.00
602-0006;875.06;208.34;0.00;1,083.40
602-0007;0.00;0.00;0.00;0.00
602-0008;1,367.64;0.00;0.00;1,367.64
602-0009;2,632.32;0.00;0.00;2,632.32
602-0010;0.00;0.00;0.00;0.00
602-0011;438.34;0.00;0.00;438.34
602-0012;0.00;0.00;0.00;0.00
602-0016;22,539.06;4,504.00;0.00;27,043.06
602-0017;8,403.00;997.02;0.00;9,400.02
602-0018;23,298.24;2,934.46;0.00;26,232.70
602-0019;17,734.70;3,414.66;0.00;21,149.36
602-0022;7,225.00;0.00;0.00;7,225.00
602-0056;6,862.21;1,454.08;0.00;8,316.29
603-0000;653,184.31;131,010.17;0.00;784,194.48
603-0001;435,601.30;86,124.26;0.00;521,725.56
603-0002;44.45;155.56;0.00;200.01
603-0003;3,200.02;0.00;0.00;3,200.02
603-0004;800.01;0.00;0.00;800.01
603-0005;0.00;0.00;0.00;0.00
603-0006;1,682.40;280.40;0.00;1,962.80
603-0007;1,725.95;302.94;0.00;2,028.89
603-0008;883.84;0.00;0.00;883.84
603-0009;982.84;0.00;0.00;982.84
603-0010;0.00;0.00;0.00;0.00
603-0011;0.00;0.00;0.00;0.00
603-0012;0.00;0.00;0.00;0.00
603-0016;17,094.00;0.00;0.00;17,094.00
603-0017;34,248.72;6,479.96;0.00;40,728.68
603-0018;13,347.62;2,605.89;0.00;15,953.51
603-0019;14,128.57;4,678.09;0.00;18,806.66
603-0022;29,235.99;5,870.99;0.00;35,106.98
603-0042;0.00;0.00;0.00;0.00
603-0043;45,152.32;7,500.00;0.00;52,652.32
603-0045;16,476.17;3,098.38;0.00;19,574.55
603-0046;0.00;0.00;0.00;0.00
603-0047;4,750.00;950.00;0.00;5,700.00
603-0048;0.00;0.00;0.00;0.00
603-0049;0.00;0.00;0.00;0.00
603-0050;8,486.45;8,407.28;0.00;16,893.73
603-0051;0.00;0.00;0.00;0.00
603-0052;0.00;0.00;0.00;0.00
603-0053;0.00;0.00;0.00;0.00
603-0056;22,782.10;4,556.42;0.00;27,338.52
603-0057;2,561.56;0.00;0.00;2,561.56
610-0000;478,422.71;96,418.38;0.00;574,841.09
610-0001;18,819.70;3,763.94;0.00;22,583.64
610-0002;5,119.64;1,104.69;0.00;6,224.33
610-0003;5,808.95;1,161.79;0.00;6,970.74
610-0004;238,125.98;48,268.61;0.00;286,394.59
610-0005;210,548.44;42,119.35;0.00;252,667.79
612-0000;90,082.05;18,016.41;0.00;108,098.46
612-0001;90,082.05;18,016.41;0.00;108,098.46
701-0000;0.00;0.00;0.00;0.00
701-0001;0.00;0.00;0.00;0.00
702-0000;2,786.71;0.00;234.36;3,021.07
702-0001;0.00;0.00;0.00;0.00
702-0002;2,786.71;0.00;234.36;3,021.07
703-0000;1,588.91;763.82;0.00;2,352.73
703-0001;0.00;0.00;0.00;0.00
703-0001;1,588.91;763.82;0.00;2,352.73
704-0000;1237.95;0;1.24;1239.19
704-0001;0;0;0;0
704-0002;1237.95;0;1.24;1239.19
